Player;Rank;Points;Kill(s) Game 1;Kill(s) Game 2;Kill(s) Game 3;Kill(s) Game 4;Kill(s) Game 5;Kill(s) Game 6;Kill(s) Game 7;Kill(s) Game 8;Kill(s) Game 9;Kill(s) Game 10;Position Game 1;Position Game 2;Position Game 3;Position Game 4;Position Game 5;Position Game 6;Position Game 7;Position Game 8;Position Game 9;Position Game 10;Time Game 1;Time Game 2;Time Game 3;Time Game 4;Time Game 5;Time Game 6;Time Game 7;Time Game 8;Time Game 9;Time Game 10;Time Lobby 1;Time Lobby 2;Time Lobby 3;Time Lobby 4;Time Lobby 5;Time Lobby 6;Time Lobby 7;Time Lobby 8;Time Lobby 9;Time Lobby 10;Game Id 1;Game Id 2;Game Id 3;Game Id 4;Game Id 5;Game Id 6;Game Id 7;Game Id 8;Game Id 9;Game Id 10
E11 Stompy;1;74;6;4;14;0;1;0;4;3;7;;20;11;3;96;74;19;13;2;8;;1382.0;1593.0;1541.0;225.0;499.0;1596.0;1459.0;1585.0;1710.0;;;;;;;;;;;;4debf6fb73a4496d80f1e717cf0ef3a7;0c746411a55444d39d98f74917343fac;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;2aea6c237387481baaec605a915ef7e7;2da2c97d34b748fdb2b80899b4b5481a;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;
TQ Prisi0n3r0;2;72;5;0;1;10;2;1;0;4;5;;4;69;16;1;5;69;96;3;1;;1548.0;628.0;1539.0;1645.0;1619.0;510.0;372.0;1725.0;1723.0;;;;;;;;;;;;0c7e3010217842c4811247b5d374dbc7;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3bbc29b32ebe44efac1725a102d24046;40b1e48f8d34440c9bcc06789280abdb;41beb62f24d5446ebf866a58c36a5547;4a61c9eefa8146a1b65c908a2d10df34;
NRG benjуfishу;3;68;5;0;6;3;0;1;8;8;4;3;7;82;7;38;71;81;3;12;6;17;1421.0;465.0;1641.0;1342.0;412.0;452.0;1557.0;1658.0;1739.0;1444.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0c746411a55444d39d98f74917343fac;100e7039d8fa489996658ff93e2563fe;1e953c618589461eb2554d7905ebe9a1;2aea6c237387481baaec605a915ef7e7;2da2c97d34b748fdb2b80899b4b5481a;2f050993ffb74a9aabde03320777a428;3f3cad9eaa564df3a156af736ffb9244;477474eee3574ba3b4d6d27a34f319af;4f692d25ab5f4375abcf1428a66643d2
hREDS BELAEU;4;67;2;6;4;1;1;1;5;0;0;11;20;2;7;24;16;63;15;60;82;1;1371.0;1490.0;1624.0;1459.0;1484.0;497.0;1538.0;638.0;587.0;1585.0;;;;;;;;;;;2a2d7b3548d14de59d9bb48a4e221522;0bc82c7fcae442e8b4a7066c5535b139;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;31e8abff3ca24002acba3ec78f9a47a0;3f3cad9eaa564df3a156af736ffb9244;41beb62f24d5446ebf866a58c36a5547;49cfb57c53ca444894463392b7aa0e1a;4ecbdf227b624a51ae1ee654747351cc;4f692d25ab5f4375abcf1428a66643d2
Gambit.letw1k3;5;66;9;9;4;0;6;0;0;1;7;3;10;10;53;64;12;86;97;57;2;14;1398.0;1778.0;1011.0;612.0;1491.0;196.0;238.0;855.0;1732.0;1604.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;259ce41766ff40f888f23bef44b02261;2aea6c237387481baaec605a915ef7e7;3575cd3166824f3884786795615883b1;36bc36e9c98a4b45b392fb0f861b30b7;3a566fa9e88243bca8370e59a3801f76;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb
LDLC Nayte;6;61;9;0;4;2;9;2;3;0;1;;1;86;18;18;1;31;8;62;62;;1498.0;478.0;1450.0;1527.0;1755.0;1424.0;1684.0;485.0;988.0;;;;;;;;;;;;9494931c51ca480a80eedbd5c5d588cc;0e2398a6b2aa4fd4bce3498f20ed63b7;1053f2ebc6f447be8dca342f9f78b563;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc;
S2V DiegoGB;7;61;3;3;0;4;2;3;5;0;2;5;45;24;89;6;8;3;4;53;71;5;1219.0;1420.0;306.0;1570.0;1529.0;1678.0;1583.0;544.0;414.0;1647.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0b09293e2cb54398a2ad57f665c5394d;174ca077f5194047a36a29ee09072e72;1a41f14a3cdc4505bbd19f8b90bd707c;283be34460954342ab8984c3eb308cbe;34969453878945998bec33f3b415d3cf;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
ÐRG;8;58;0;3;0;10;2;5;0;0;7;1;72;26;94;1;28;1;83;57;8;8;633.0;1416.0;197.0;1557.0;1401.0;1810.0;330.0;760.0;1930.0;1850.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;07617f9d32864807a6cdf8a96e177a4e;105cda2d514d467fb39c9f67a54677d6;12f3c11dc3964e5bb12c55b728714f55;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3bbc29b32ebe44efac1725a102d24046;3f3cad9eaa564df3a156af736ffb9244;4437c56e93224216a767f00b07b7a693;4ecbdf227b624a51ae1ee654747351cc
VGIA Khisanth;9;58;2;6;2;3;0;4;0;3;3;1;6;3;31;6;83;1;85;26;38;5;1450.0;1522.0;1300.0;1527.0;505.0;1571.0;321.0;1502.0;945.0;1610.0;;;;;;;;;;;4923e6ff07b7400d879dfe7256be2312;0c3e2f38b7db4d29907019879f70133b;19bb3304e39f44c1b4fc1b7996d5e659;259ce41766ff40f888f23bef44b02261;31e8abff3ca24002acba3ec78f9a47a0;3575cd3166824f3884786795615883b1;41beb62f24d5446ebf866a58c36a5547;4294f180e8cf4501bfad193233664ca3;4a61c9eefa8146a1b65c908a2d10df34;4f692d25ab5f4375abcf1428a66643d2
Solary Airwaks;10;58;8;0;4;1;2;0;4;0;2;;1;80;5;23;20;37;5;54;4;;1506.0;539.0;1741.0;1441.0;1609.0;1194.0;1802.0;533.0;1550.0;;;;;;;;;;;;d76eb8c5b3dc4850996fd4657601f84b;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc;
